Month of Order Date,Year of Order Date,2 in one,Profit,Sales
June,2015,20.96,5.24,20.96
November,2017,5.68,1.7608,5.68
June,2015,51.98,15.0742,51.98
March,2014,14.88,3.72,14.88
March,2014,6.56,1.9024,6.56
April,2015,5.56,2.224,5.56
August,2014,45.98,12.8744,45.98
November,2017,5.16,1.3416,5.16
September,2016,14.88,3.72,14.88
July,2016,45.98,12.8744,45.98
September,2014,5.88,2.646,5.88
September,2015,17.48,8.2156,17.48
November,2017,15.28,7.4872,15.28
September,2014,15.56,7.3132,15.56
July,2015,167.86,78.8942,167.86
May,2017,23.16,11.58,23.16
April,2014,11.62,3.6022,11.62
October,2016,3.62,1.1946,3.62
August,2014,22.96,10.7912,22.96
September,2016,29.6,14.8,29.6
February,2015,61.06,28.0876,61.06
April,2017,7.38,3.4686,7.38
May,2015,8.26,3.7996,8.26
March,2015,14.62,6.8714,14.62
April,2017,5.78,2.7166,5.78
December,2015,5.76,2.8224,5.76
November,2016,7.38,3.4686,7.38
September,2016,7.38,3.4686,7.38
June,2016,14.62,6.8714,14.62
November,2017,9.96,4.5816,9.96
October,2016,10.56,5.0688,10.56
March,2016,19.98,8.991,19.98
November,2014,11.96,5.8604,11.96
May,2016,13.38,6.1548,13.38
January,2014,19.36,9.2928,19.36
May,2017,12.96,6.2208,12.96
June,2016,111.96,54.8604,111.96
July,2017,16.34,7.6798,16.34
September,2014,81.98,40.1702,81.98
November,2017,12.96,6.2208,12.96
June,2017,24.56,11.5432,24.56
December,2017,12.96,6.3504,12.96
April,2015,11.96,5.8604,11.96
October,2017,7.42,3.71,7.42
May,2014,39.96,19.1808,39.96
August,2017,24.56,11.5432,24.56
July,2016,12.96,6.2208,12.96
May,2014,12.96,6.2208,12.96
September,2016,81.98,40.1702,81.98
January,2016,12.96,6.2208,12.96
May,2016,11.96,5.8604,11.96
December,2017,124.36,33.5772,124.36
November,2014,362.92,105.2468,362.92
August,2014,15.78,0.631200000,15.78
December,2015,360.38,93.6988,360.38
September,2014,40.68,0.406800000,40.68
September,2017,421.1,105.275,421.1
September,2016,261.74,65.435,261.74
March,2014,21.36,5.7672,21.36
May,2015,323.1,61.389,323.1
September,2014,30.28,1.2112,30.28
October,2015,81.96,0,81.96
December,2016,27.96,7.2696,27.96
May,2015,35.06,10.518,35.06
September,2017,21.96,6.1488,21.96
June,2016,60.81,17.0268,60.81
December,2016,56.52,15.8256,56.52
August,2014,152.91,42.8148,152.91
April,2016,113.76,44.3664,113.76
December,2016,35.1,12.285,35.1
December,2016,65.34,22.869,65.34
November,2014,7.44,2.604,7.44
November,2014,30.48,7.9248,30.48
April,2015,64.14,16.6764,64.14
October,2016,12.39,5.6994,12.39
May,2017,59.52,15.4752,59.52
December,2016,9.84,3.2472,9.84
March,2014,7.98,2.0748,7.98
September,2014,59.52,15.4752,59.52
January,2017,8.34,2.1684,8.34
January,2017,9.12,3.1008,9.12
October,2015,60.45,16.3215,60.45
September,2017,6.57,1.7739,6.57
October,2014,144.6,41.934,144.6
September,2017,12.42,5.2164,12.42
February,2017,6.63,1.7901,6.63
November,2017,9.21,2.3025,9.21
September,2014,182.94,85.9818,182.94
June,2015,186.69,87.7443,186.69
December,2015,271.44,122.148,271.44
April,2016,71.97,35.985,71.97
August,2016,10.86,5.1042,10.86
May,2014,158.13,77.4837,158.13
June,2015,5.43,1.7919,5.43
December,2014,15,7.2,15
February,2016,10.65,5.0055,10.65
July,2017,5.94,0.1188,5.94
May,2016,5.94,0,5.94
November,2015,5.04,0.2016,5.04
February,2017,11.22,0.224400000,11.22
September,2016,10.47,4.8162,10.47
October,2017,14.73,7.2177,14.73
July,2016,18.9,8.694,18.9
September,2015,8.64,4.2336,8.64
February,2016,14.73,7.2177,14.73
January,2016,44.4,22.2,44.4
December,2017,8.64,4.2336,8.64
December,2015,14.94,6.8724,14.94
December,2014,31.05,14.904,31.05
September,2016,11.07,5.2029,11.07
November,2017,8.64,4.2336,8.64
December,2017,22.83,10.7301,22.83
April,2017,28.14,13.5072,28.14
February,2015,36.84,17.3148,36.84
April,2017,19.05,8.763,19.05
November,2017,19.44,9.3312,19.44
November,2015,19.44,9.3312,19.44
August,2016,15.54,7.6146,15.54
November,2014,19.44,9.3312,19.44
December,2015,68.52,31.5192,68.52
November,2016,314.55,150.984,314.55
November,2016,116.28,56.9772,116.28
November,2016,19.44,9.3312,19.44
October,2016,22.92,11.2308,22.92
March,2015,19.44,9.3312,19.44
September,2014,19.35,9.4815,19.35
May,2016,17.94,8.7906,17.94
August,2014,92.94,41.823,92.94
May,2015,12.84,5.778,12.84
December,2014,12.84,5.778,12.84
November,2017,19.44,9.3312,19.44
November,2015,92.94,41.823,92.94
October,2015,17.94,8.7906,17.94
August,2016,17.94,3.0498,17.94
September,2016,23.67,0.946800000,23.67
June,2015,304.23,9.126900000,304.23
October,2016,340.92,3.409200000,340.92
December,2015,74.94,14.2386,74.94
December,2016,48.72,7.308,48.72
August,2015,484.65,92.0835,484.65
August,2015,70.26,18.9702,70.26
February,2016,186.54,50.3658,186.54
October,2016,154.44,1.5444,154.44
August,2017,193.95,9.697500000,193.95
May,2015,37.32,10.4496,37.32
May,2016,104.28,26.07,104.28
April,2016,579.51,81.1314,579.51
December,2016,33.87,8.8062,33.87
September,2016,332.94,6.6588,332.94
September,2014,57.93,16.2204,57.93
August,2017,46.74,11.685,46.74
November,2017,344.91,10.3473,344.91
December,2014,11.91,0.1191,11.91
August,2015,32.94,9.2232,32.94
November,2017,27.93,8.0997,27.93
December,2017,54.32,16.296,54.32
February,2017,46.8,16.38,46.8
March,2015,73.28,21.2512,73.28
April,2014,13.12,3.8048,13.12
January,2014,36.44,12.0252,36.44
September,2016,16.56,6.9552,16.56
December,2014,11.76,3.1752,11.76
July,2017,71.92,20.8568,71.92
March,2017,46.2,21.252,46.2
December,2015,45.92,21.5824,45.92
September,2014,8.72,2.8776,8.72
July,2017,4.96,2.3312,4.96
June,2017,11.56,5.4332,11.56
October,2014,29.24,13.7428,29.24
February,2017,29.6,13.32,29.6
August,2016,37.52,18.0096,37.52
August,2017,25.92,12.4416,25.92
December,2014,49.12,23.0864,49.12
December,2016,25.92,12.4416,25.92
May,2017,25.92,12.4416,25.92
August,2017,192.16,92.2368,192.16
December,2016,123.92,55.764,123.92
July,2017,87.92,0.879200000,87.92
May,2015,1117.92,55.896,1117.92
February,2017,139.04,38.9312,139.04
December,2016,772.68,108.1752,772.68
April,2017,205.92,2.0592,205.92
March,2015,33.36,8.6736,33.36
August,2016,15.88,0.158800000,15.88
November,2017,168.1,43.706,168.1
April,2015,1447.65,419.8185,1447.65
August,2017,1473.1,412.468,1473.1
May,2017,64.9,18.821,64.9
November,2017,400.8,112.224,400.8
August,2016,43.1,11.206,43.1
September,2017,9.4,2.726,9.4
December,2015,16.9,6.253,16.9
November,2015,14.7,6.615,14.7
April,2014,10.75,3.5475,10.75
January,2014,19.9,6.567,19.9
October,2017,19.9,6.567,19.9
January,2017,24.2,7.986,24.2
September,2016,35.4,13.452,35.4
September,2014,78.35,36.8245,78.35
May,2016,54.9,26.901,54.9
August,2016,135.9,63.873,135.9
April,2017,10.9,3.597,10.9
November,2014,30.4,15.2,30.4
December,2017,19.6,9.604,19.6
June,2014,17.9,8.95,17.9
September,2017,74,37,74
November,2017,62.65,29.4455,62.65
January,2016,20.65,9.499,20.65
October,2014,14.45,6.7915,14.45
May,2015,15.75,7.56,15.75
August,2016,32.4,15.552,32.4
September,2016,10.9,5.123,10.9
January,2017,154.9,69.705,154.9
June,2017,204.95,100.4255,204.95
May,2017,15.7,7.065,15.7
May,2017,34.4,15.824,34.4
November,2015,32.4,15.552,32.4
August,2015,114.2,52.532,114.2
August,2017,244.55,114.9385,244.55
December,2016,33.9,15.594,33.9
December,2016,189.7,89.159,189.7
September,2016,21.4,10.058,21.4
September,2017,217.85,65.355,217.85
February,2017,354.9,17.745,354.9
August,2015,892.35,267.705,892.35
November,2015,304.9,6.098,304.9
January,2014,1325.85,238.653,1325.85
September,2014,169.45,42.3625,169.45
December,2015,1325.85,238.653,1325.85
December,2017,118.25,34.2925,118.25
September,2014,807.75,153.4725,807.75
March,2015,83.7,3.348,83.7
December,2014,51.15,13.299,51.15
May,2017,35.1,10.179,35.1
March,2014,25.44,9.9216,25.44
December,2014,88.8,44.4,88.8
October,2017,43.86,20.6142,43.86
February,2017,37.44,16.848,37.44
June,2017,38.88,19.0512,38.88
January,2017,38.88,18.6624,38.88
March,2015,40.14,19.6686,40.14
November,2017,35.88,17.5812,35.88
May,2015,25.68,11.556,25.68
December,2017,38.88,18.6624,38.88
January,2014,40.08,19.2384,40.08
August,2016,34.68,16.9932,34.68
September,2014,485.88,19.4352,485.88
December,2017,1003.62,0,1003.62
September,2015,199.74,47.9376,199.74
May,2014,41.04,11.0808,41.04
July,2016,151.62,50.0346,151.62
February,2017,356.79,99.9012,356.79
September,2016,18.69,5.2332,18.69
April,2017,41.86,14.2324,41.86
May,2017,22.96,6.6584,22.96
December,2016,39.76,18.6872,39.76
November,2016,15.26,5.0358,15.26
December,2015,21.56,10.3488,21.56
February,2015,87.71,41.2237,87.71
December,2017,45.36,21.7728,45.36
November,2015,29.96,13.482,29.96
September,2017,55.86,27.93,55.86
December,2016,40.46,19.8254,40.46
May,2016,45.36,21.7728,45.36
September,2016,159.88,73.5448,159.88
September,2016,30.87,14.2002,30.87
December,2016,248.08,116.5976,248.08
December,2017,41.86,18.837,41.86
November,2017,48.86,0.977200000,48.86
November,2015,454.86,54.5832,454.86
May,2015,104.79,29.3412,104.79
November,2015,777.21,54.4047,777.21
April,2014,87.08,24.3824,87.08
September,2017,97.3,28.217,97.3
November,2017,34.24,9.9296,34.24
December,2016,21.92,5.9184,21.92
September,2014,303.84,91.152,303.84
January,2017,11.84,5.6832,11.84
April,2017,23.04,11.2896,23.04
November,2014,39.84,18.3264,39.84
July,2017,786.48,385.3752,786.48
May,2016,182.72,84.0512,182.72
September,2017,211.04,97.0784,211.04
November,2014,62.24,28.008,62.24
September,2016,34.24,15.408,34.24
November,2017,51.84,24.8832,51.84
November,2017,811.28,24.3384,811.28
November,2016,37.17,10.4076,37.17
December,2014,26.46,11.907,26.46
September,2015,181.35,48.9645,181.35
December,2015,120.15,33.642,120.15
November,2015,368.91,180.7659,368.91
November,2014,53.82,24.219,53.82
September,2014,38.52,17.334,38.52
December,2014,998.82,29.964600000,998.82
August,2015,728.82,29.1528,728.82
November,2017,305.01,76.2525,305.01
April,2016,150.66,6.026400000,150.66
September,2017,99.3,41.706,99.3
October,2016,93.36,0.933600000,93.36
October,2017,1702.12,510.636,1702.12
April,2015,35.208,2.6406,35.208
August,2015,2.304,0.2592,2.304
April,2016,13.208,4.6228,13.208
September,2016,7.312,2.5592,7.312
May,2015,12.176,4.4138,12.176
September,2017,2.688,0.84,2.688
April,2014,9.584,3.3544,9.584
November,2017,28.792,10.0772,28.792
December,2015,7.92,2.772,7.92
September,2015,12.536,4.2309,12.536
August,2017,6.672,2.085,6.672
November,2016,24.784,7.745,24.784
April,2015,10.744,0.8058,10.744
August,2017,10.744,0.8058,10.744
August,2014,6.8,0.51,6.8
October,2017,9.344,1.8688,9.344
May,2015,5.248,0.590400000,5.248
September,2014,5.248,0.4592,5.248
September,2017,487.984,152.495,487.984
December,2017,10.128,3.6714,10.128
November,2015,3.168,0.99,3.168
October,2016,27.264,8.8608,27.264
November,2016,9.296,3.0212,9.296
March,2015,17.568,6.3684,17.568
November,2015,9.872,3.4552,9.872
July,2015,39.92,12.974,39.92
August,2017,13.76,4.644,13.76
December,2015,8.096,2.7324,8.096
September,2014,8.608,3.0128,8.608
March,2014,673.568,252.588,673.568
January,2016,17.456,5.8914,17.456
November,2016,57.584,20.1544,57.584
September,2016,39.872,12.9584,39.872
October,2014,95.648,31.0856,95.648
July,2017,4.448,1.4456,4.448
December,2015,487.984,152.495,487.984
May,2017,8.288,3.0044,8.288
March,2014,62.048,20.1656,62.048
July,2017,23.168,7.8192,23.168
December,2015,55.424,19.3984,55.424
August,2015,6.368,2.1492,6.368
September,2014,10.048,3.14,10.048
October,2017,13.904,5.214,13.904
August,2015,5.04,1.764,5.04
June,2015,9.568,2.99,9.568
September,2017,6.368,2.388,6.368
July,2017,16.096,5.2312,16.096
December,2014,10.368,3.6288,10.368
June,2015,82.368,-19.5624,82.368
June,2017,35.168,-8.3524,35.168
September,2017,12.624,-2.5248,12.624
December,2017,78.256,-17.6076,78.256
March,2017,1332.496,-299.8116,1332.496
October,2015,10.944,0.9576,10.944
August,2015,10.272,1.1556,10.272
December,2015,4.224,0.4752,4.224
December,2015,14.04,1.5795,14.04
September,2014,38.256,4.782000000,38.256
January,2015,70.008,24.5028,70.008
April,2017,73.344,27.504,73.344
September,2017,72.96,23.712,72.96
June,2015,88.752,27.735,88.752
December,2016,11.232,3.9312,11.232
November,2014,21.936,8.226,21.936
October,2014,34.272,11.1384,34.272
July,2017,50.352,17.6232,50.352
November,2015,11.952,4.1832,11.952
December,2016,38.376,13.4316,38.376
August,2014,46.44,15.093,46.44
October,2017,39.624,13.8684,39.624
August,2017,11.952,4.1832,11.952
August,2017,31.128,11.673,31.128
November,2016,10.776,3.3675,10.776
August,2017,102.72,37.236,102.72
December,2017,24.816,8.3754,24.816
September,2016,39.624,13.8684,39.624
September,2016,14.256,4.455,14.256
December,2016,153.552,51.8238,153.552
July,2016,19.296,6.03,19.296
June,2014,3266.376,1061.5722,3266.376
December,2016,59.808,19.4376,59.808
October,2017,88.752,27.735,88.752
May,2015,14.592,4.9248,14.592
November,2014,23.472,8.802,23.472
August,2014,4.464,-0.9486,4.464
August,2017,8.376,2.7222,8.376
September,2015,4.512,0.846,4.512
December,2017,3.024,-0.6048,3.024
December,2015,27.696,9.6936,27.696
December,2015,85.056,28.7064,85.056
August,2014,15.552,5.4432,15.552
August,2016,15.48,5.6115,15.48
February,2014,22.776,7.6869,22.776
November,2014,15.552,5.4432,15.552
March,2014,636.408,-15.910200000,636.408
August,2017,237.096,20.7459,237.096
September,2017,37.68,2.355,37.68
December,2014,39.072,2.9304,39.072
May,2015,121.792,13.7016,121.792
August,2015,133.472,15.0156,133.472
April,2017,8.896,0.6672,8.896
March,2014,83.168,9.356400000,83.168
May,2016,22.72,7.384,22.72
December,2015,19.936,7.2268,19.936
August,2014,17.856,6.2496,17.856
April,2016,48.032,15.6104,48.032
November,2017,21.792,7.6272,21.792
November,2015,66.048,23.1168,66.048
March,2014,33.088,11.1672,33.088
September,2016,20.704,7.764,20.704
May,2014,136.96,51.36,136.96
August,2016,15.712,5.6956,15.712
July,2014,11.264,3.8016,11.264
May,2017,84.416,27.4352,84.416
February,2014,32.896,11.1024,32.896
November,2016,39.808,3.9808,39.808
December,2015,13.12,1.148,13.12
March,2017,171.2,64.2,171.2
April,2014,16.52,5.5755,16.52
March,2017,30.84,9.6375,30.84
November,2017,121.6,39.52,121.6
August,2015,41.36,13.959,41.36
September,2017,18.72,6.552,18.72
September,2016,27.24,9.534,27.24
May,2017,133.12,49.92,133.12
November,2015,91.68,28.65,91.68
September,2017,22.92,8.022,22.92
November,2017,150.8,56.55,150.8
September,2014,137.24,46.3185,137.24
December,2014,11.52,3.744,11.52
December,2015,19.92,6.723,19.92
September,2014,40.24,13.078,40.24
July,2014,55.92,6.291,55.92
November,2014,443.92,-94.333,443.92
November,2014,669.08,-167.27,669.08
December,2014,13.88,-2.6025,13.88
December,2015,86.304,9.709200000,86.304
September,2015,28.752,9.7038,28.752
September,2017,25.824,9.0384,25.824
December,2017,14.976,5.4288,14.976
August,2017,100.704,37.764,100.704
August,2014,31.104,10.8864,31.104
September,2014,148.704,46.47,148.704
December,2015,247.104,-58.6872,247.104
October,2017,39.072,4.3956,39.072
October,2017,95.144,10.7037,95.144
November,2014,51.016,8.2901,51.016
November,2017,117.488,41.1208,117.488
September,2017,2357.488,884.058,2357.488
April,2016,18.088,6.5569,18.088
November,2015,117.488,41.1208,117.488
November,2014,123.144,46.179,123.144
September,2017,10.08,3.528,10.08
August,2014,2060.744,643.9825,2060.744
September,2014,43.176,13.4925,43.176
December,2016,47.208,15.3426,47.208
September,2016,48.664,15.8158,48.664
September,2014,21.728,7.6048,21.728
December,2014,27.888,9.0636,27.888
August,2015,36.288,12.7008,36.288
December,2015,106.232,37.1812,106.232
July,2016,33.488,-1.255800000,33.488
November,2014,47.992,3.5994,47.992
November,2015,91.392,29.7024,91.392
January,2017,119.616,40.3704,119.616
January,2017,2022.272,682.5168,2022.272
August,2015,313.024,105.6456,313.024
December,2015,198.272,61.96,198.272
June,2017,312.552,101.5794,312.552
August,2014,223.056,69.705,223.056
November,2016,31.504,11.0264,31.504
September,2015,45.584,16.5242,45.584
November,2017,563.024,190.0206,563.024
November,2016,43.584,15.7992,43.584
May,2015,845.728,84.572800000,845.728
April,2017,121.68,38.025,121.68
June,2016,53.984,17.5448,53.984
October,2017,8.559,-6.5619,8.559
June,2017,72.588,-48.392,72.588
September,2015,1.08,-0.792,1.08
July,2016,19.968,-13.312,19.968
September,2017,18.18,-13.938,18.18
July,2017,7.656,-6.1248,7.656
July,2016,8.736,-6.1152,8.736
December,2014,6.456,-4.5192,6.456
November,2016,6.27,-4.598,6.27
August,2014,9.345,-6.5415,9.345
December,2014,946.764,-694.2936,946.764
November,2016,4.368,-3.3488,4.368
May,2015,19.194,-12.796,19.194
October,2017,22.638,-16.6012,22.638
August,2016,26.352,-18.4464,26.352
December,2016,31.32,-25.056,31.32
December,2017,84.99,30.5964,84.99
December,2015,125.99,31.4975,125.99
October,2016,69.9,18.873,69.9
November,2016,221.98,62.1544,221.98
December,2015,239.9,71.97,239.9
September,2016,278.4,80.736,278.4
December,2017,199.95,63.984,199.95
September,2016,224.75,62.93,224.75
December,2015,175.23,61.3305,175.23
May,2017,7.992,0.6993,7.992
January,2017,47.984,14.3952,47.984
August,2017,95.984,5.999,95.984
September,2014,11.12,3.475,11.12
November,2017,35.184,12.3144,35.184
October,2015,150.384,15.0384,150.384
November,2015,21.48,-0.268500000,21.48
August,2017,119.448,-13.4379,119.448
December,2014,40.68,-9.153,40.68
June,2017,470.376,52.9173,470.376
November,2016,67.176,6.7176,67.176
July,2014,575.968,43.1976,575.968
January,2017,62.592,13.3008,62.592
July,2016,115.136,11.5136,115.136
December,2016,78.15,34.386,78.15
July,2014,99.98,7.998400000,99.98
September,2017,391.98,113.6742,391.98
December,2014,271.9,78.851,271.9
June,2015,133.98,33.495,133.98
August,2015,307.98,89.3142,307.98
October,2014,177,30.09,177
May,2015,128.85,3.8655,128.85
May,2015,239.97,2.399700000,239.97
June,2014,617.97,160.6722,617.97
November,2017,1259.97,327.5922,1259.97
July,2014,164.85,47.8065,164.85
November,2016,359.97,100.7916,359.97
August,2015,247.8,34.692,247.8
November,2016,88.4,11.492,88.4
March,2017,119.96,33.5888,119.96
November,2016,263.96,71.2692,263.96
December,2017,979.95,284.1855,979.95
September,2014,629.95,157.4875,629.95
August,2015,979.95,274.386,979.95
October,2016,98.16,9.816,98.16
December,2015,773.94,224.4426,773.94
September,2014,1349.91,661.4559,1349.91
November,2014,47.496,-1.1874,47.496
July,2014,559.992,174.9975,559.992
December,2017,127.984,25.5968,127.984
July,2017,527.92,85.787000000,527.92
September,2017,47.984,14.3952,47.984
October,2015,53.04,-4.641,53.04
May,2016,431.976,-75.5958,431.976
July,2017,16.776,4.8231,16.776
September,2017,71.976,19.7934,71.976
September,2015,617.976,-7.724700000,617.976
May,2016,132.52,34.7865,132.52
December,2015,2025.36,607.608,2025.36
December,2015,101.988,-16.998,101.988
July,2017,683.988,-113.998,683.988
December,2017,83.988,-20.997,83.988
July,2016,1439.976,191.9968,1439.976
June,2017,158.376,-34.3148,158.376
May,2014,1799.97,239.996,1799.97
December,2017,629.958,94.4937,629.958
September,2017,12.585,-18.0385,12.585
December,2015,1799.994,-2639.9912,1799.994
September,2017,241.17,-168.819,241.17
May,2016,224.937,-164.9538,224.937
November,2016,59.98,17.994,59.98
April,2015,569.64,148.1064,569.64
June,2016,26.85,5.1015,26.85
June,2016,323.37,129.348,323.37
November,2016,89.97,18.8937,89.97
December,2017,71,27.69,71
September,2017,34.95,15.378,34.95
January,2014,149.95,65.978,149.95
June,2016,179.94,75.5748,179.94
April,2015,106.5,41.535,106.5
August,2014,272.61,98.1396,272.61
June,2015,11.672,-0.729500000,11.672
June,2016,18.464,2.308,18.464
August,2016,44.784,4.4784,44.784
March,2016,119.976,-17.9964,119.976
December,2015,47.976,4.7976,47.976
August,2017,271.96,16.9975,271.96
January,2017,7.92,0.693,7.92
December,2017,120,-7.2,120
June,2016,695.7,-27.828,695.7
November,2015,32.985,-1.9791,32.985
November,2014,29.99,6.2979,29.99
December,2015,36.24,15.2208,36.24
April,2017,11.54,3.462,11.54
October,2014,99.98,34.993,99.98
March,2017,99.54,10.9494,99.54
September,2017,79.98,26.3934,79.98
September,2017,71.98,15.1158,71.98
November,2014,772.47,146.7693,772.47
June,2017,62.31,22.4316,62.31
September,2017,89.97,37.7874,89.97
May,2015,339.96,122.3856,339.96
March,2017,199.96,85.9828,199.96
November,2017,132.52,54.3332,132.52
March,2017,13999.96,6719.9808,13999.96
December,2017,474.95,142.485,474.95
November,2016,82.95,29.0325,82.95
December,2016,1649.95,659.98,1649.95
December,2015,248.85,27.3735,248.85
December,2015,299.94,128.9742,299.94
November,2014,139.93,34.9825,139.93
March,2017,479.984,59.998,479.984
March,2015,15.984,1.1988,15.984
May,2017,344.704,38.7792,344.704
October,2015,572.8,50.12,572.8
September,2017,455.712,34.1784,455.712
December,2014,71.976,21.5928,71.976
October,2015,53.04,-4.641,53.04
December,2015,494.376,49.4376,494.376
May,2017,302.376,22.6782,302.376
November,2017,107.88,10.788,107.88
March,2017,211.168,15.8376,211.168
August,2017,431.968,37.7972,431.968
November,2017,31.968,2.3976,31.968
September,2017,126.56,47.46,126.56
October,2015,503.96,50.396,503.96
April,2014,1679.96,125.997,1679.96
March,2017,657.504,-131.5008,657.504
June,2015,125.944,15.743,125.944
April,2017,552,34.5,552
November,2016,179.991,-251.9874,179.991
April,2015,10.95,0.438000000,10.95
April,2015,599.98,209.993,599.98
September,2017,113.52,46.5432,113.52
March,2016,1287.45,244.6155,1287.45
May,2016,63.992,-7.1991,63.992
July,2017,36.792,4.1391,36.792
December,2015,159.984,35.9964,159.984
December,2017,39.264,-4.908,39.264
October,2016,79.512,20.8719,79.512
October,2015,263.88,42.8805,263.88
April,2017,95.736,20.3439,95.736
November,2017,55.176,-12.4146,55.176
May,2016,223.96,11.198,223.96
May,2016,79.96,7.996000000,79.96
December,2015,166.24,24.936,166.24
September,2014,16.99,4.4174,16.99
March,2016,129.98,62.3904,129.98
June,2016,1349.85,364.4595,1349.85
June,2014,1214.85,352.3065,1214.85
September,2014,287.97,80.6316,287.97
September,2014,2799.96,1371.9804,2799.96
November,2014,279.96,78.3888,279.96
November,2017,119.94,5.997000000,119.94
July,2015,2309.65,762.1845,2309.65
May,2017,120,13.2,120
May,2016,58.112,7.264000000,58.112
March,2017,159.984,43.9956,159.984
October,2014,142.488,-3.5622,142.488
March,2017,44.376,-7.396,44.376
December,2015,485.94,-89.089000000,485.94
October,2014,101.994,-71.3958,101.994
July,2016,29,7.25,29
August,2016,71.98,15.1158,71.98
February,2016,100,21,100
November,2016,36.192,2.7144,36.192
October,2015,11.824,1.0346,11.824
October,2014,23.472,4.9878,23.472
May,2017,627.168,70.556400000,627.168
July,2016,823.96,51.4975,823.96
March,2015,447.944,89.5888,447.944
October,2015,55.944,-13.2867,55.944
December,2016,863.928,86.3928,863.928
October,2016,199.99,85.9957,199.99
September,2014,199.98,75.9924,199.98
September,2014,118,20.06,118
October,2014,179.97,86.3856,179.97
December,2016,119.96,25.1916,119.96
September,2014,144.96,60.8832,144.96
April,2015,239.94,26.3934,239.94
November,2015,447.93,49.2723,447.93
March,2017,164.792,18.5391,164.792
October,2015,1295.84,145.782,1295.84
September,2016,2799.96,944.9865,2799.96
September,2017,79.96,-17.991,79.96
December,2014,447.944,89.5888,447.944
July,2017,71.928,6.2937,71.928
November,2015,83.9,22.653,83.9
November,2015,393.54,165.2868,393.54
March,2016,134.85,37.758,134.85
October,2015,135.72,35.2872,135.72
September,2014,104.85,28.3095,104.85
October,2015,263.96,71.2692,263.96
July,2017,159.75,11.1825,159.75
July,2015,831.2,124.68,831.2
September,2017,296.85,53.433,296.85
April,2017,155.34,55.9224,155.34
December,2017,104.88,41.952,104.88
September,2017,112.8,6.768,112.8
November,2014,111.79,43.5981,111.79
August,2016,167.28,23.4192,167.28
November,2016,94.992,-2.3748,94.992
October,2017,24,-2.7,24
October,2017,26.176,-3.272,26.176
July,2015,148.48,16.704,148.48
September,2014,239.976,53.9946,239.976
October,2014,119.976,-17.9964,119.976
November,2016,297.576,-7.439400000,297.576
July,2016,15.576,3.3099,15.576
June,2016,359.976,35.9976,359.976
December,2015,158.376,13.8579,158.376
July,2014,23.84,3.278,23.84
December,2014,319.968,95.9904,319.968
July,2015,659.168,49.4376,659.168
November,2017,239.96,83.986,239.96
January,2015,398.4,84.66,398.4
September,2016,719.96,53.997,719.96
October,2017,823.96,51.4975,823.96
February,2015,479.952,89.991,479.952
August,2016,1399.944,52.4979,1399.944
July,2015,537.544,53.7544,537.544
July,2016,419.944,52.493,419.944
May,2015,399.54,-79.908,399.54
October,2015,31.95,2.2365,31.95
September,2017,39.99,11.5971,39.99
July,2015,135.99,36.7173,135.99
July,2017,41.9,8.799,41.9
September,2016,31.86,11.151,31.86
November,2015,13.98,6.0114,13.98
November,2015,307.98,89.3142,307.98
November,2017,99.98,3.999200000,99.98
September,2015,307.98,89.3142,307.98
March,2017,57.06,18.2592,57.06
June,2016,239.97,71.991,239.97
March,2014,479.97,177.5889,479.97
December,2016,137.94,35.8644,137.94
August,2016,59.97,28.7856,59.97
March,2017,677.58,176.1708,677.58
October,2015,631.96,303.3408,631.96
May,2017,87.4,34.96,87.4
November,2015,899.95,53.997,899.95
July,2016,89.95,43.176,89.95
November,2017,979.95,264.5865,979.95
December,2015,1799.75,539.925,1799.75
July,2017,132.6,17.238,132.6
March,2017,119.7,31.122,119.7
November,2014,832.93,233.2204,832.93
March,2017,71.6,13.604,71.6
September,2017,1071,171.36,1071
September,2015,279.86,134.3328,279.86
December,2016,40,0.5,40
March,2016,31.984,1.1994,31.984
September,2017,79.984,22.9954,79.984
December,2015,47.984,0.599800000,47.984
January,2017,71.976,-8.997,71.976
March,2015,16.776,5.0328,16.776
September,2017,119.96,35.988,119.96
June,2017,479.952,107.9892,479.952
September,2014,64.704,-4.8528,64.704
January,2015,155.37,-36.253,155.37
September,2014,135.516,-31.6204,135.516
July,2017,39.594,-7.2589,39.594
September,2015,45.894,-9.1788,45.894
December,2014,659.988,109.998,659.988
November,2014,9.588,-2.0774,9.588
January,2017,429.6,-93.08,429.6
August,2015,26.982,4.0473,26.982
January,2017,107.982,-26.9955,107.982
July,2015,269.982,40.4973,269.982
March,2016,280.782,-60.8361,280.782
November,2016,1199.976,179.9964,1199.976
January,2015,431.976,-100.7944,431.976
April,2015,1022.97,-255.7425,1022.97
November,2016,499.98,114.9954,499.98
December,2014,99.98,7.998400000,99.98
December,2017,1399.98,629.991,1399.98
December,2016,699.98,195.9944,699.98
April,2014,47.79,16.2486,47.79
August,2014,62.91,22.6476,62.91
February,2017,29.16,8.4564,29.16
September,2017,199.95,63.984,199.95
December,2017,146.45,48.3285,146.45
February,2016,8749.95,2799.984,8749.95
November,2015,226.2,58.812,226.2
March,2017,206.1,55.647,206.1
December,2015,173.94,50.4426,173.94
December,2017,47.992,7.198800000,47.992
August,2017,79.992,21.9978,79.992
May,2014,479.984,89.997,479.984
September,2016,108.784,6.799000000,108.784
